frame,x0,y0,w_r,h_r,theta
1,205.1606445,420.1366272,67.12197113,44.24481964,0.058737122
2,205.0536804,418.8733826,66.85443115,44.18361282,0.066212095
3,204.7404175,417.6540833,66.59619141,44.48571396,0.079094015
4,204.6431122,416.3956909,66.61161041,44.36809921,0.082957432
5,204.5918274,415.1996155,66.38143921,44.11981964,0.096641913
6,204.3739471,413.977478,66.32791138,44.01856613,0.101244792
7,204.5322418,412.7385254,66.45368958,43.76754379,0.100098804
8,204.3706207,411.6370239,66.70079041,43.98569107,0.119395837
9,204.3629303,410.4359436,66.54131317,44.26882172,0.126309246
10,204.0341797,409.3215027,66.6082077,44.68375397,0.138580427
11,204.2285156,408.1511841,66.41830444,44.6170578,0.139853284
12,204.1933441,407.1345215,66.32678986,44.89076996,0.144045711
13,203.8313446,406.0494385,66.09680939,45.30173111,0.150637224
14,203.7451172,405.1566467,65.89470673,45.88896942,0.153242946
15,203.7288361,403.9399719,65.81838226,45.80949402,0.166099489
16,203.7418976,402.7134399,65.78046417,45.57079315,0.158831239
17,203.7148895,401.577301,65.65207672,45.50410461,0.159873784
18,203.7491302,400.5823975,65.81005096,45.6329689,0.172747836
19,203.796524,399.5200195,65.91631317,45.51568985,0.173932776
20,203.8849945,398.3065186,65.89781952,45.7183609,0.173777819
21,203.9912109,397.0298157,66.1202774,45.9540596,0.202225372
22,204.010849,395.7153015,66.42063141,45.75706863,0.206659168
23,203.9950867,394.555603,66.46833038,45.59761047,0.215838984
24,203.8050385,393.4866638,66.44051361,45.64149094,0.214428216
25,203.5042572,392.3907471,65.9985733,45.6973114,0.21039094
26,203.5056915,391.1228027,65.44206238,45.35385513,0.207908243
27,203.6170197,389.7607422,65.43090057,44.83715057,0.218806863
28,203.6952057,388.5191956,65.36258698,44.67580414,0.211427569
29,203.8378296,387.3601379,65.48464966,44.40830994,0.21427992
30,203.8630219,386.1873169,65.66886902,44.23139572,0.208905548
31,204.0671539,384.9081116,65.65918732,44.263134,0.21459806
32,204.2767639,383.6362305,65.76882172,44.39447784,0.222101212
33,204.3928986,382.5301208,65.808815,44.32349014,0.223492041
34,204.4969177,381.4699097,66.07055664,44.39713287,0.222177699
35,204.4271698,380.2427673,65.99485016,43.90366745,0.214215964
36,204.379715,378.9726563,66.50455475,43.69123077,0.22670278
37,204.3783875,377.7932129,66.99414063,43.41196823,0.224770144
38,204.2692566,376.730011,67.27920532,43.45771408,0.218406603
39,204.2341003,375.6647339,67.51106262,43.41681671,0.227903545
40,204.1571808,374.6443176,67.78412628,43.19702911,0.222240254
41,204.1560059,373.4923096,67.91555786,42.83800507,0.216983855
42,204.2490845,372.1957703,67.87612152,42.47382736,0.208775312
43,204.2471466,370.8121948,67.77940369,42.39544296,0.204057083
44,204.3502045,369.6050415,67.54876709,42.55455017,0.205690503
45,204.1534119,368.4352722,67.66755676,42.2713623,0.189833775
46,203.7662201,367.0588684,67.54697418,41.86912918,0.19092612
47,203.5480652,365.8980103,67.67205811,41.83317184,0.179514617
48,203.4426422,364.7669678,67.70657349,41.60111237,0.158254132
49,203.5062561,363.6783752,67.62387085,41.54445267,0.142771259
50,203.5359192,362.718689,68.04416656,41.30294037,0.128925547
51,203.5298309,361.6377258,68.20452118,40.90431213,0.118872561
52,203.5250854,360.5811768,68.45982361,40.75217056,0.121648595
53,203.538559,359.5004578,68.79959106,40.48954391,0.123450629
54,203.565094,358.3287354,68.96828461,40.55988693,0.119595736
55,203.5186768,357.2504578,69.35112762,40.93697357,0.120446235
56,203.4814453,356.1210327,69.94070435,41.07764053,0.126465037
57,203.3646698,355.0534363,70.43469238,41.22275925,0.125215024
58,203.3191528,353.9588928,70.70752716,41.14515305,0.115171306
59,203.3630524,352.9615173,71.15400696,41.23112869,0.110737145
60,203.5285645,351.9476013,71.4613266,41.55881119,0.101463884
61,203.7481537,350.8642578,72.06349945,41.7305069,0.106867455
62,203.7945862,349.6528015,72.2312088,42.17926025,0.109320663
63,203.9951935,348.5339661,72.57397461,42.21437454,0.11752405
64,204.2326355,347.5780334,73.31664276,41.99904251,0.115880996
65,204.3005981,346.3867493,73.56835938,42.27645874,0.112648442
66,204.3135681,345.0717773,73.82839966,42.44229889,0.119426735
67,204.6167908,343.903656,74.09126282,42.70946884,0.114699244
68,204.7594604,342.8312683,74.36192322,42.75439072,0.117363393
69,204.8920135,341.7027893,74.68359375,42.8937645,0.109784022
70,205.0386963,340.4378357,74.61165619,42.92890167,0.098114476
71,205.0781555,339.3331909,74.52674103,43.1814003,0.102232181
72,205.1980591,338.2774963,74.83714294,43.23432159,0.098522037
73,205.4862518,337.1413574,75.24556732,43.04271317,0.090151057
74,205.5180511,336.008667,75.56668854,42.97142029,0.100243084
75,205.6842499,334.850708,76.08640289,42.66708755,0.098132737
76,205.6314392,333.6433105,75.89097595,42.90122986,0.093316011
77,205.829422,332.4760742,75.94511414,43.15480804,0.106822424
78,205.910553,331.3995056,75.91020966,43.13851929,0.096186519
79,205.869339,330.4111023,75.80583954,43.22304916,0.096917741
80,205.8230591,329.3283691,75.7976532,43.14923859,0.092705004
81,205.8104553,328.0740967,75.66926575,43.18935776,0.08090841
82,205.7108612,326.9017029,75.53278351,43.36304855,0.086084753
83,205.7535553,325.9698792,75.67356873,43.24671555,0.08791206
84,205.755722,325.0569153,75.6680069,43.13049316,0.093401588
85,205.8497162,323.9871216,75.80377197,42.85280991,0.097675271
86,205.91362,322.6356201,75.46527863,42.75527573,0.082071342
87,206.0442657,321.5804138,76.01325989,42.51427841,0.090171464
88,206.0187683,320.3884888,75.95759583,42.9330368,0.090462923
89,206.0294037,319.1732788,75.89207458,43.05104446,0.083578452
90,206.0868988,318.0119934,75.90380096,43.34874344,0.094176814
91,206.0790558,316.9436951,76.09783936,43.47645569,0.096301675
92,205.9602661,315.8305664,76.10707855,43.32475281,0.090088792
93,206.0151367,314.6312561,76.13240814,43.11895752,0.092934951
94,205.9010773,313.4921875,75.8374176,43.04476547,0.094504416
95,205.8599854,312.4108887,75.97593689,42.89850616,0.089226581
96,206.0357971,311.2028503,76.20445251,42.86644745,0.082818672
97,206.1176453,310.0505981,76.47885895,42.82608795,0.081973597
98,206.3537445,309.019165,76.84339905,42.89239502,0.081599936
99,206.4436188,308.1529846,76.87463379,42.78142929,0.08796946
100,206.3941193,306.9928589,76.68058777,42.82679367,0.082524776
101,206.2765503,306.01474,76.53414917,42.8426857,0.079099722
102,206.1406708,305.0332031,76.43667603,42.78388214,0.071984276
103,206.0621948,303.8926697,76.83240509,42.75693512,0.074743085
104,206.1010132,302.6555786,77.001297,42.62669373,0.07157822
105,206.1373749,301.413208,77.18817139,42.4291954,0.073086828
106,206.1349335,300.1440125,77.18572235,42.3205452,0.072017707
