气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积
4,877.23,395.70,58.91,47.13,157.06,6.4935,84.1559
5,837.01,41.52,46.12,39.94,178.24,5.6339,43.6987
6,894.02,250.44,42.96,37.60,28.09,5.7356,35.6964
7,295.38,258.99,75.99,53.86,15.51,7.9180,160.0113
8,561.27,166.31,66.60,43.07,23.49,8.3631,98.2791
9,789.19,241.58,89.21,45.17,172.49,7.4679,184.9594
10,843.75,228.37,62.23,49.53,19.50,6.8024,98.6740
11,259.57,42.38,61.87,46.79,40.76,7.0961,92.1513
12,370.56,314.99,42.75,38.18,4.71,7.4473,35.9025
13,315.75,83.69,51.91,40.40,33.85,4.6950,56.0146
15,423.98,252.07,55.31,31.27,165.86,10.6099,49.2255
25,766.78,262.79,60.78,34.22,28.14,9.9099,65.0389
31,587.58,310.92,46.05,43.33,1.72,8.2592,47.2594
32,558.14,369.65,37.92,37.02,86.19,7.3106,27.3880
33,762.92,162.25,78.20,36.45,24.48,9.0068,114.6563
34,513.53,106.52,36.42,36.12,179.41,8.0670,24.6412
35,519.31,134.61,84.85,51.11,152.81,5.6048,189.2893
52,361.05,107.85,84.60,53.56,122.74,9.6186,197.2263
63,778.19,14.06,108.66,54.96,25.33,5.0177,333.8126
65,468.77,99.09,83.69,53.06,33.49,9.6166,191.2184
67,621.97,227.12,54.34,38.43,162.25,13.5009,58.3945
69,683.74,174.84,67.41,28.77,19.42,8.4586,67.2662
70,314.63,395.24,94.77,51.60,16.05,6.7066,238.4211
72,658.82,115.30,53.26,30.37,17.65,11.0534,44.3259
79,687.44,24.46,51.69,43.72,177.58,7.7842,60.0896
89,394.68,398.27,70.00,51.20,158.85,6.2190,129.0528
200,857.00,120.31,37.67,34.34,177.20,5.2878,25.0664
211,313.41,519.54,49.53,39.67,20.07,7.4639,50.0645
54,668.72,93.82,34.27,29.99,175.52,9.5990,18.1218
238,877.22,562.10,23.34,22.28,178.69,5.0592,6.2412
263,695.63,371.54,87.31,42.29,5.74,11.0104,165.8553
265,515.55,378.03,53.00,46.86,178.43,11.0442,67.7157
84,364.74,65.70,61.86,35.70,162.19,10.4021,70.2854
282,656.10,386.83,70.66,49.56,19.03,11.4475,127.3116
83,470.90,186.19,81.97,38.65,176.85,12.4330,133.6188
37,759.96,289.42,84.60,45.75,30.04,11.0622,168.4573
320,424.46,399.02,100.07,53.90,155.82,14.0065,277.7069
316,724.85,318.92,63.48,53.33,179.55,10.4461,110.5603
43,417.82,118.40,67.18,52.10,159.15,11.8185,120.9741
349,276.85,502.06,71.05,29.88,9.14,7.3039,77.6165
20,588.39,246.59,43.65,39.73,2.40,7.7244,38.9347
322,777.39,431.64,100.83,44.82,22.22,6.2224,234.4506
379,347.42,481.81,72.95,34.46,161.03,7.9997,94.3563
266,593.45,346.33,72.49,47.48,13.03,14.8694,128.3597
314,529.33,197.73,62.00,47.76,162.34,10.0447,94.4526
380,752.82,470.36,80.06,55.21,159.25,6.4733,182.0476
406,275.15,590.68,30.81,29.24,174.21,5.3426,14.2752
414,493.68,468.98,118.67,69.63,155.45,9.4214,504.5043
439,721.32,602.83,37.82,37.30,91.76,5.7756,27.4559
456,439.63,551.55,62.83,45.75,12.11,10.7085,92.9153
484,725.26,546.31,48.73,47.56,178.83,7.6034,58.1171
471,589.03,555.26,60.69,54.66,176.80,8.4157,103.5576
42,678.72,204.77,45.40,40.74,173.62,8.8706,43.2039
17,666.29,131.43,56.02,38.53,14.05,6.9797,62.2042
554,525.39,592.03,67.64,43.29,147.73,11.6852,101.8911
560,302.86,669.62,77.95,50.37,145.35,7.4833,157.4634
57,636.93,182.41,44.74,44.08,176.47,7.9771,45.3806
569,564.38,17.58,33.49,29.39,179.09,8.5457,16.9614
572,603.84,646.91,96.45,39.71,5.87,11.4320,190.0352
530,436.30,632.71,73.54,53.34,140.75,8.0755,148.4177
580,478.20,664.76,55.97,42.34,5.65,11.6294,68.2334
595,727.18,705.64,64.82,44.77,43.19,8.1943,96.7763
597,770.86,695.05,76.21,45.28,34.09,11.0366,135.2927
51,757.16,65.22,33.77,27.22,115.06,7.6176,15.9707
588,634.84,674.69,86.27,39.28,3.88,10.3970,150.4284
287,616.88,376.02,58.51,35.53,27.48,9.9582,62.5645
618,397.35,700.10,42.96,24.32,154.30,10.8549,23.0951
631,772.32,184.07,39.47,33.41,5.72,12.3845,26.7769
639,343.29,721.17,76.44,40.78,1.39,10.3472,122.6076
653,240.34,763.51,43.60,39.15,176.48,5.7972,38.2926
358,647.98,457.61,75.78,56.86,16.45,8.9160,167.9709
667,772.99,516.58,36.48,35.10,1.77,5.6427,24.0286
299,445.37,166.95,33.72,32.03,179.82,9.6707,18.7318
670,705.80,746.06,47.19,40.81,5.76,10.0335,46.7517
682,686.48,749.45,86.49,36.63,20.72,12.0989,140.9480
689,765.57,734.20,44.19,33.25,37.45,5.6996,33.4060
691,709.43,5.77,51.82,26.99,158.53,12.1822,37.2900
607,701.62,31.63,40.19,39.06,90.93,11.0700,32.4530
707,778.60,779.49,49.74,35.97,11.47,12.3218,45.7734
711,480.79,768.22,83.13,47.47,171.62,13.6794,168.7822
517,502.30,516.43,69.14,65.32,0.39,18.7192,160.6258
695,447.77,661.11,44.31,41.37,0.41,10.7803,41.7895
688,828.01,786.69,74.75,48.69,166.87,8.0564,139.9602
474,502.95,534.36,101.65,51.64,142.79,17.3508,274.5068
735,563.15,792.30,103.16,31.64,170.00,8.1608,173.2442
736,466.53,787.54,53.17,34.20,177.97,10.1279,49.7379
540,731.33,232.32,12.35,11.79,2.43,5.7350,0.9257
