气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,884.60,324.61,37.69,36.41,2.72,5.4345,26.6099,single
3,828.72,494.95,64.78,43.30,30.46,7.1594,93.5003,single
4,717.16,635.54,87.79,45.67,14.33,8.9136,181.0757,overlap
5,874.07,629.31,59.33,48.78,148.16,6.4764,88.3492,single
6,689.04,447.71,54.32,43.78,147.65,8.3225,66.4475,single
7,516.60,309.51,58.88,46.51,5.76,10.1543,82.9578,single
8,780.71,436.78,39.48,35.72,6.36,7.5630,28.6397,overlap
9,535.31,535.72,83.54,52.41,147.14,10.4835,188.1564,overlap
10,354.09,576.89,45.64,39.26,16.16,7.2915,42.0774,single
11,845.95,282.87,48.45,39.72,22.21,6.6778,47.9573,single
12,433.94,123.27,104.78,46.79,5.63,13.1589,264.3134,overlap
13,802.34,576.01,72.48,55.38,166.45,10.5509,149.6886,single
14,722.16,133.51,49.54,38.43,160.37,5.1904,48.5200,single
15,878.19,476.51,55.67,39.78,26.67,6.5046,63.4277,single
16,379.73,85.55,91.08,59.75,12.79,9.2961,254.9816,overlap
17,704.59,494.76,48.34,40.93,167.67,7.8204,49.2071,overlap
18,539.96,682.92,38.61,38.48,92.22,8.5742,29.5179,single
19,364.77,192.81,45.41,43.47,179.63,7.2181,46.1180,overlap
20,314.57,684.03,72.04,36.41,170.93,8.0397,97.2122,single
21,590.81,323.48,85.74,48.17,179.46,10.4728,182.1642,overlap
22,597.60,533.02,41.08,40.45,91.78,8.0013,35.1157,overlap
23,317.88,303.14,49.72,41.62,140.56,4.9969,52.9362,single
24,424.67,633.99,64.70,37.28,10.33,8.3436,80.2833,single
25,833.47,174.73,51.26,43.98,28.01,7.6302,59.4561,single
26,758.45,599.80,22.57,22.29,90.74,7.4927,5.8446,single
27,591.90,186.60,38.60,38.14,92.17,7.2476,29.2345,single
28,718.75,587.22,59.66,46.41,53.70,7.9400,84.9795,single
29,430.26,296.26,64.85,41.21,151.59,10.0797,89.1504,single
30,594.21,575.23,64.56,42.89,149.66,10.6260,91.9652,overlap
31,779.73,344.28,77.86,57.15,145.86,11.3231,178.2329,overlap
33,631.94,376.84,72.98,36.85,2.99,9.5488,100.9810,overlap
34,398.68,453.07,101.80,49.32,145.27,6.7661,262.9414,overlap
35,538.74,508.67,34.24,31.62,178.76,7.2047,19.0692,overlap
37,252.06,316.77,78.31,48.69,13.41,7.3222,153.6147,single
38,439.18,490.24,59.86,53.04,174.05,11.2182,97.7731,overlap
39,592.01,644.60,43.88,43.52,1.69,9.5512,43.1113,overlap
40,753.50,489.02,64.10,47.29,19.36,7.8391,99.9550,overlap
41,659.90,298.16,74.64,56.07,18.55,8.8702,160.7280,single
42,281.60,544.61,77.06,49.74,11.99,11.5557,151.9510,single
44,649.14,92.34,116.30,45.80,7.01,9.1930,318.7146,single
45,563.57,238.93,52.92,39.20,162.15,12.9278,56.4830,single
46,760.21,54.31,83.63,33.10,18.84,10.8033,119.0710,overlap
47,770.42,412.55,35.62,25.90,22.36,11.8912,16.9094,overlap
49,567.30,297.33,31.84,30.80,178.79,7.5787,16.0639,overlap
50,397.99,196.47,71.47,42.37,158.44,7.9898,111.3249,overlap
52,708.21,41.37,31.62,28.85,95.07,6.9176,14.8429,overlap
54,531.12,157.33,69.14,50.35,177.89,10.5171,123.8185,overlap
56,639.32,519.08,49.32,37.53,14.89,12.0277,46.9708,overlap
58,460.16,209.55,71.35,43.97,149.97,15.5328,115.1554,overlap
59,429.04,417.29,87.49,61.93,3.56,21.1958,243.8404,overlap
60,739.03,175.76,66.51,39.19,164.62,9.3554,89.1794,overlap
65,711.56,374.34,66.64,27.84,13.80,10.1292,63.5949,overlap
66,655.76,510.02,52.04,43.66,11.74,10.0442,60.8341,overlap
67,520.50,24.09,65.97,64.10,175.07,9.3704,143.5097,overlap
68,475.14,238.48,75.13,47.23,147.61,9.4720,137.1622,overlap
69,728.68,346.43,65.94,50.91,49.71,12.0995,113.8820,overlap
71,573.15,63.34,49.06,48.19,178.20,7.5338,59.6658,single
72,483.78,41.62,85.63,47.31,166.34,8.7323,178.4558,overlap
77,551.23,156.15,54.47,50.89,7.34,6.9639,77.6958,overlap
78,436.13,238.10,70.27,54.35,132.15,9.2707,138.0462,overlap
79,582.81,114.93,72.59,43.28,18.72,10.2539,117.3349,single
83,457.10,574.58,75.72,56.12,178.28,9.1118,165.5582,single
85,675.49,379.59,32.86,31.76,91.76,8.1410,17.6424,overlap
86,401.77,709.09,74.71,49.85,168.41,8.2205,143.1320,single
88,729.13,48.24,56.92,35.99,24.99,9.5618,59.9876,overlap
137,312.28,749.88,50.89,44.61,152.47,4.9204,59.4236,single
55,537.65,432.52,45.39,41.09,2.72,8.9632,43.5543,single
161,872.37,755.15,23.87,23.43,2.50,4.4266,6.8671,single
172,519.56,738.61,51.33,46.56,174.94,9.4743,63.1107,overlap
198,649.80,750.35,63.57,53.86,168.36,9.9277,111.9692,overlap
32,642.00,642.99,65.31,36.69,5.92,11.5855,80.5172,overlap
206,693.02,742.89,80.22,45.89,3.50,8.7129,151.9330,overlap
75,657.96,550.57,69.76,39.79,8.08,10.1183,99.6279,overlap
81,461.76,506.54,30.09,28.96,175.18,8.8697,13.4912,overlap
223,711.91,660.14,51.50,43.10,6.95,8.3143,58.8105,overlap
234,435.35,773.10,93.62,67.36,152.22,8.6903,303.7553,single
80,393.51,383.54,75.55,37.94,148.32,15.0949,111.4271,overlap
82,660.27,209.50,75.69,41.57,2.87,14.5366,122.5125,overlap
2,735.37,309.24,57.85,41.94,4.34,8.2648,72.2139,overlap
248,278.77,781.52,77.14,38.18,0.24,7.6139,116.8744,single
174,584.38,750.19,65.21,39.67,7.30,10.6695,86.7903,overlap
57,611.73,14.97,83.54,32.20,2.37,13.4178,115.6117,single
170,538.81,551.38,57.71,47.77,176.97,4.9098,81.8532,overlap
191,571.43,737.59,66.59,44.06,8.66,8.0170,100.5235,overlap
266,639.18,211.76,59.54,36.92,9.05,30.6255,67.3442,overlap
267,661.00,794.07,42.70,17.79,179.70,5.4039,16.6857,single
237,780.09,784.56,111.12,53.80,19.20,8.6313,341.7601,single
282,276.24,797.97,60.72,43.43,147.24,0.0000,82.3637,single
192,779.32,784.65,112.69,53.67,18.80,2.1545,350.6172,overlap
263,787.39,34.98,56.58,49.01,15.62,5.1481,80.7062,overlap
