气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,536.69,778.11,39.68,36.95,8.86,10.3976,29.9393,single
2,871.74,693.08,59.25,51.98,7.56,28.3833,93.8603,single
3,739.46,402.39,56.88,45.97,9.60,18.9718,76.5144,single
5,312.08,363.20,49.35,41.69,169.17,21.6269,52.2428,single
6,701.29,581.71,46.37,41.29,13.87,17.8332,45.6596,single
8,820.50,245.57,57.33,39.37,35.52,27.4318,66.5715,single
9,438.22,231.05,99.73,63.26,10.16,7.0911,323.6929,single
10,748.30,577.17,56.56,43.61,27.91,18.0612,71.7572,single
11,815.11,572.76,58.52,47.33,30.56,23.5330,83.3994,single
12,718.60,229.78,45.83,40.13,2.34,17.0061,43.3665,single
13,522.05,411.96,64.02,45.46,17.54,11.0199,95.8310,single
15,716.27,744.95,87.05,49.76,8.94,8.6385,193.9551,single
16,873.77,553.25,56.93,37.22,21.73,24.0313,62.0609,single
17,702.73,532.85,49.99,45.63,170.39,19.7511,58.6606,single
18,370.68,257.56,43.76,43.30,2.90,22.4626,42.6641,single
19,595.30,272.25,37.32,37.24,90.11,17.4998,26.6787,single
20,277.37,633.28,74.99,46.13,179.46,9.8132,133.4415,single
21,596.35,616.62,41.34,40.72,89.70,16.5600,35.7999,single
22,585.63,451.79,91.93,53.57,13.71,2.5230,232.8992,single
23,437.25,406.37,62.10,34.76,159.40,4.2111,68.9575,single
24,781.11,444.79,90.86,52.74,161.88,13.3512,224.0124,overlap
25,555.73,383.23,33.49,32.63,6.32,16.1629,18.8264,single
26,543.10,644.84,83.64,61.54,160.04,9.1047,221.4862,single
27,850.37,351.64,46.75,38.23,16.98,27.6570,42.9833,single
29,418.31,734.81,53.41,40.19,13.69,6.8317,58.9912,single
30,355.11,653.38,45.10,38.58,167.79,15.7935,40.3686,single
31,443.31,608.38,71.71,53.54,153.65,5.0587,141.6514,overlap
32,806.79,671.11,62.97,44.81,153.04,18.1454,91.4115,single
33,786.44,512.26,40.08,36.62,173.97,23.6708,30.2648,single
34,409.54,547.05,75.65,50.62,152.69,11.1675,149.0273,overlap
