气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,434.36,103.62,104.41,46.01,3.58,9.0504,258.0326,overlap
2,380.31,65.48,91.36,59.30,13.67,12.4359,254.6212,overlap
3,591.65,299.71,82.75,47.48,178.72,12.0499,167.2836,overlap
4,874.79,614.54,56.17,52.50,171.34,7.6328,85.2302,single
5,845.79,269.66,50.05,38.69,27.74,5.8451,49.8689,single
6,877.60,462.20,54.65,41.11,26.45,6.4181,63.1654,single
7,283.96,528.87,76.96,48.66,14.11,8.3266,148.2716,single
8,590.69,551.43,62.77,39.77,155.91,11.6814,80.6083,overlap
9,799.83,555.38,75.62,54.21,171.98,11.7901,159.5013,single
10,831.48,480.64,67.90,41.49,30.45,5.2642,98.4203,single
11,251.40,300.90,78.95,49.67,14.78,11.1717,159.2825,single
12,354.20,562.85,47.12,39.39,15.50,7.6274,44.9861,single
13,316.77,292.88,54.85,41.43,142.89,5.7449,64.1362,single
14,884.54,313.28,39.01,35.74,6.63,5.7260,27.9757,single
15,424.25,616.22,61.42,38.49,5.96,10.6366,74.6892,single
16,723.21,115.61,48.15,39.88,171.90,10.0580,47.5708,single
17,686.73,430.69,54.38,44.99,151.65,8.3650,68.4601,single
18,780.48,422.24,40.69,36.15,4.12,7.0211,30.8003,single
22,369.50,177.55,58.35,49.04,176.05,11.3883,85.8986,overlap
23,836.62,161.73,53.30,43.14,34.57,6.6767,63.0545,single
24,660.21,280.22,79.39,55.29,21.58,9.5889,179.2825,single
25,719.84,568.66,61.19,44.94,56.20,10.6199,86.5633,overlap
26,515.47,289.00,58.91,46.32,175.56,9.8103,82.6899,single
27,631.14,354.16,73.06,35.46,178.19,10.4174,97.3718,overlap
28,734.25,292.95,57.55,39.51,5.34,6.8209,67.3302,overlap
29,427.41,275.07,73.37,41.36,152.93,10.5598,114.5373,single
30,573.91,46.16,50.23,49.06,178.64,8.0893,63.6662,overlap
31,592.04,625.77,44.96,43.74,3.01,9.3412,45.4836,overlap
32,540.87,664.60,39.18,37.88,5.03,8.8590,29.9138,single
33,754.44,471.35,67.29,47.03,21.82,7.9867,109.5721,overlap
34,536.30,413.85,46.16,41.65,1.83,10.1171,45.6634,single
35,532.96,510.80,85.94,49.76,151.38,10.5109,189.0795,overlap
36,570.72,284.64,38.00,35.45,2.14,2.5787,26.3357,overlap
39,538.06,487.61,29.19,25.90,24.58,9.4021,11.3528,overlap
40,560.57,219.60,54.26,39.97,162.17,11.0577,60.5424,single
41,470.86,215.72,72.50,46.31,153.71,13.7287,125.2220,overlap
42,705.15,478.75,49.63,40.14,158.62,8.3753,50.8551,overlap
45,737.89,155.92,63.31,38.88,166.29,4.1937,80.1734,overlap
52,397.10,434.39,107.77,47.40,143.18,7.6732,283.2521,overlap
56,616.07,11.44,82.43,23.15,0.50,2.1570,80.9366,single
57,657.57,492.76,50.12,43.82,4.52,12.1236,56.6261,overlap
58,759.16,586.59,21.63,21.58,88.38,5.2576,5.1941,single
61,714.69,354.03,67.66,34.58,15.13,13.1967,81.4471,overlap
62,591.63,171.20,39.72,38.24,18.55,6.6241,31.0461,single
63,778.68,324.64,81.36,58.02,150.41,16.0356,197.5886,overlap
64,457.42,188.31,76.10,43.80,153.40,12.2841,130.4979,overlap
65,428.53,398.80,87.76,58.35,170.62,10.5060,231.1979,overlap
67,643.11,621.16,70.74,34.79,3.31,11.3718,89.5620,overlap
68,393.49,177.02,74.00,40.68,156.94,11.8369,114.6129,overlap
69,656.59,530.93,67.69,37.77,11.64,7.4107,89.0398,overlap
70,313.35,667.68,71.99,40.52,172.97,8.4367,108.0327,single
71,585.32,94.08,70.64,46.65,18.69,10.1844,119.7514,overlap
72,639.31,498.20,48.63,37.16,14.25,10.0962,45.2166,overlap
74,768.02,32.36,76.71,37.73,21.80,12.2555,114.2386,overlap
77,484.73,22.05,93.80,48.09,161.43,11.0306,217.6885,overlap
79,728.16,328.33,65.35,56.46,21.93,8.6093,124.0541,overlap
80,437.00,224.14,67.12,54.26,151.40,4.3286,125.7616,overlap
89,400.44,690.39,73.51,46.39,167.02,8.8559,128.9848,single
179,311.43,737.67,46.45,44.98,172.80,6.0214,49.9259,single
54,674.48,366.06,31.85,31.56,90.64,7.2060,16.4687,overlap
51,772.98,390.99,35.15,25.93,12.78,10.8766,16.4815,single
46,563.74,355.73,74.10,38.89,170.82,13.1189,109.8511,overlap
207,872.70,744.59,23.70,23.02,2.71,4.3502,6.6535,single
232,693.00,723.41,79.63,45.39,1.90,10.6817,148.0903,overlap
234,519.19,719.71,52.74,45.95,179.54,9.6163,65.7488,overlap
84,392.61,366.76,74.90,35.22,146.65,11.7251,101.6734,single
251,648.42,730.94,61.38,54.51,173.97,10.6417,105.6390,overlap
83,458.69,552.85,79.23,53.25,179.84,11.5288,171.9556,single
37,720.19,615.18,88.74,43.26,15.65,8.3157,175.2557,overlap
289,435.74,754.38,97.09,68.02,151.86,9.1401,329.8515,single
55,520.21,8.50,70.99,52.11,152.00,7.8089,135.1142,overlap
285,711.95,641.90,55.02,45.03,3.38,10.7081,70.1212,overlap
60,715.90,26.19,41.86,41.20,92.31,8.2102,37.1452,overlap
86,658.19,187.65,78.71,44.61,178.89,11.6431,142.2038,overlap
43,437.32,468.17,61.07,52.44,2.52,9.3476,100.6246,overlap
53,531.47,136.69,73.22,57.55,170.37,14.0557,158.7230,overlap
268,460.17,487.49,32.24,31.97,177.27,7.5480,17.0982,overlap
318,276.48,780.71,63.36,46.46,163.83,7.2734,95.9644,single
327,669.00,796.15,67.44,45.64,25.57,2.9716,106.8011,single
20,597.61,517.93,42.80,42.32,0.37,7.5718,39.8758,overlap
91,731.25,28.77,63.49,40.94,23.17,11.0471,84.8977,overlap
291,778.88,762.14,108.45,49.15,18.72,8.8928,297.4152,overlap
175,786.84,16.83,68.67,46.92,28.01,7.9076,113.8114,overlap
256,585.43,729.74,61.76,38.94,2.08,10.4276,76.4122,overlap
348,345.60,791.65,89.28,38.69,167.04,4.7250,158.6721,single
235,573.51,718.55,68.73,48.57,8.37,4.7003,118.0396,overlap
283,542.16,531.32,61.51,44.72,164.41,3.3459,87.0387,overlap
349,774.03,793.30,65.55,20.20,176.56,4.2725,44.6478,overlap
350,392.71,366.55,74.66,34.11,148.84,10.1063,97.8200,overlap
355,497.40,793.70,42.55,18.07,177.97,2.5722,16.8294,single
38,649.74,70.93,118.75,48.18,6.06,21.6454,349.5135,overlap
