气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
1,839.65,92.87,47.08,41.42,18.22,6.2207,47.2294,single
2,365.92,373.19,43.39,38.90,15.45,6.9719,37.6694,single
3,876.35,442.70,55.88,51.08,178.60,6.2436,82.0559,single
4,688.51,271.34,40.58,36.87,13.54,3.2519,31.2399,overlap
5,294.51,318.05,68.69,59.19,5.53,7.4899,143.6825,single
6,863.60,164.23,36.63,35.00,173.69,6.7148,24.1612,single
8,842.20,281.75,56.82,42.47,11.90,7.0169,70.5362,overlap
9,852.01,6.56,45.17,17.03,0.20,1.8960,17.8735,single
10,667.70,196.47,50.40,42.66,7.60,9.3342,55.7493,overlap
11,490.56,28.17,58.01,44.71,169.67,7.3622,77.4062,overlap
14,562.26,251.18,63.11,39.73,17.70,12.0068,81.4101,overlap
18,894.27,294.91,42.87,37.62,4.17,6.0165,35.5656,single
20,588.86,377.76,45.53,42.75,174.73,9.2014,45.5819,single
24,750.00,357.45,75.66,49.89,28.43,11.8977,146.9221,overlap
25,308.03,130.43,55.50,41.33,29.96,5.5888,65.4954,single
27,776.58,81.24,89.25,57.37,25.21,11.5500,235.1024,overlap
28,428.61,331.95,58.14,34.90,171.08,11.6777,60.6874,single
29,264.34,95.76,66.64,45.13,169.30,6.4392,103.1284,single
35,618.33,34.82,68.30,33.97,173.96,9.2670,81.5134,overlap
44,520.80,171.22,46.07,35.19,143.93,7.8011,38.4281,overlap
47,545.09,45.77,74.82,45.28,179.54,9.9694,130.4138,overlap
49,370.37,178.10,82.07,54.70,114.57,10.1283,189.5284,overlap
53,462.87,164.18,74.69,60.67,37.51,7.7292,174.1281,overlap
55,646.14,251.73,46.23,43.09,178.89,9.9769,47.3747,overlap
56,313.86,449.03,89.93,54.78,7.52,6.1761,227.9512,single
59,674.20,252.61,68.35,35.55,22.23,10.1684,85.4423,overlap
61,652.89,201.48,51.81,31.94,13.94,12.1946,44.1112,overlap
84,393.83,457.74,71.58,48.42,160.36,11.6303,127.6479,overlap
