气泡ID,X坐标,Y坐标,宽度,高度,角度,速度(m/s),体积,类别
3,875.56,583.82,57.14,50.51,172.58,7.0486,84.8275,single
4,704.69,442.03,43.40,41.18,174.82,6.3736,39.8995,single
5,733.10,252.57,58.88,40.00,12.49,9.1428,71.3484,overlap
6,723.65,72.83,50.09,40.16,158.73,8.2926,51.8354,single
9,513.20,243.13,60.24,46.44,174.68,8.9619,86.6909,single
10,429.85,56.45,107.58,44.16,179.45,8.1545,262.9163,overlap
11,673.49,332.45,32.10,31.94,0.05,6.9307,16.9270,single
12,354.56,530.53,48.02,40.39,18.55,6.1015,47.9201,single
14,880.75,427.01,45.75,44.43,0.11,6.8103,47.8442,single
16,590.62,134.12,40.12,37.53,14.94,7.2344,31.0879,single
17,840.71,130.60,55.45,41.47,39.23,6.1973,65.5919,single
18,680.33,391.59,52.31,46.74,170.87,8.5037,65.8047,single
20,834.05,447.30,67.19,41.50,28.68,6.9128,96.3931,single
21,426.50,568.33,51.67,39.00,171.50,9.7575,53.5753,single
24,757.30,428.12,69.75,46.74,24.39,9.1582,117.0012,single
25,725.95,533.36,63.53,46.61,48.47,7.6663,96.7843,overlap
26,541.91,621.85,38.17,37.70,2.46,9.1847,28.2556,single
28,250.86,265.63,73.00,53.54,28.04,6.6120,146.7910,single
29,779.89,388.82,43.05,38.16,7.92,5.8498,36.3828,single
30,590.27,244.37,83.76,47.84,176.43,12.9607,172.6754,overlap
31,736.57,106.50,60.64,37.67,170.86,11.9445,71.2706,overlap
32,799.94,510.10,73.64,49.36,172.40,10.3583,137.7287,single
33,552.63,171.92,60.98,35.11,145.26,9.3142,67.1755,single
34,533.77,371.23,44.27,40.36,3.95,8.1935,40.6814,single
36,461.69,165.87,75.72,41.92,151.00,11.8217,123.6492,overlap
37,418.36,219.40,81.00,39.03,149.82,11.0081,131.7447,overlap
38,577.77,8.66,56.13,50.14,12.99,5.5462,81.2691,overlap
39,390.99,392.36,101.67,50.16,143.39,10.5655,266.7273,overlap
41,557.81,300.52,81.08,35.98,174.19,13.5913,121.6772,overlap
42,286.68,490.75,75.12,48.92,19.03,8.6191,142.0148,single
45,775.72,283.04,89.99,62.28,155.89,9.7573,259.4778,overlap
48,660.29,237.31,83.19,51.19,15.86,12.3100,182.2210,overlap
50,715.34,306.01,63.74,30.22,20.89,7.1214,63.1585,overlap
51,645.86,569.22,75.38,31.19,4.70,10.2724,91.1755,single
52,656.60,449.83,51.56,39.95,7.89,16.9384,54.6318,overlap
53,778.17,338.46,35.34,28.37,27.42,10.7940,18.2292,single
56,450.32,138.80,71.84,43.73,154.31,11.5433,116.0898,overlap
57,314.17,629.95,71.02,53.87,168.78,7.1407,139.8034,single
60,640.93,446.28,49.48,37.29,7.19,15.0999,46.9743,overlap
66,387.64,130.03,78.92,41.89,149.22,11.5197,134.2237,overlap
67,628.28,300.47,76.82,34.66,177.85,11.6928,105.2268,overlap
69,726.73,283.75,56.29,50.37,132.46,11.1081,82.1265,overlap
70,581.85,497.94,63.42,40.49,175.80,10.3173,83.7928,overlap
71,437.32,185.60,58.20,53.60,12.62,9.4660,93.3973,overlap
72,656.29,483.79,70.85,38.30,13.45,9.4564,98.8872,overlap
78,588.20,45.25,66.48,48.44,17.48,11.2896,110.1436,overlap
79,533.31,81.60,63.30,51.78,159.11,8.4962,106.7419,overlap
93,400.14,648.49,72.98,49.52,159.52,8.2661,135.6949,single
58,530.42,459.03,91.85,48.68,157.47,8.6674,211.3029,overlap
2,380.31,19.91,88.89,52.62,5.33,7.1268,213.9137,overlap
197,317.54,268.11,57.59,40.32,148.72,4.9971,68.8014,single
198,882.40,287.40,38.48,35.25,178.36,5.2420,26.8532,single
199,360.32,150.19,46.52,42.11,175.30,7.3795,46.8690,overlap
200,752.13,551.71,26.05,20.73,15.67,6.6369,7.2351,overlap
201,844.35,238.64,48.80,40.48,20.89,6.0883,49.5838,single
203,435.04,360.37,83.74,74.03,168.86,7.7124,267.0521,overlap
205,719.61,1.26,32.56,23.50,4.21,5.2097,12.8176,single
221,308.97,707.90,47.23,46.46,4.86,5.1462,53.3155,single
237,872.60,718.43,23.81,23.63,0.65,6.3460,6.8910,single
124,518.00,674.35,55.33,47.09,171.52,9.4059,74.1792,overlap
86,460.91,501.07,90.61,48.03,4.33,11.0527,202.8696,single
126,691.09,675.58,84.76,43.36,2.61,8.8222,160.2649,overlap
249,647.47,684.31,62.86,55.08,7.02,8.8837,111.9697,overlap
275,432.10,707.84,93.17,63.65,169.41,10.5707,284.2741,single
65,726.12,567.76,92.52,51.41,17.19,9.8168,226.4031,overlap
283,713.17,595.14,59.60,50.80,165.63,16.2212,92.8470,overlap
274,576.76,670.57,74.72,54.02,14.53,11.8276,155.1550,overlap
7,597.18,481.67,42.66,39.95,1.66,7.2351,37.4068,overlap
291,457.94,441.37,37.14,29.80,10.31,12.3712,21.1555,overlap
35,591.87,582.83,45.04,43.04,2.79,9.3796,44.9210,single
75,660.06,134.92,58.51,47.71,166.51,4.5352,84.0339,overlap
281,541.18,483.34,62.07,46.77,160.23,14.1204,92.6774,overlap
89,542.66,103.39,63.71,54.42,178.53,13.5745,113.6457,overlap
40,432.30,419.85,64.44,49.36,6.64,10.0560,105.4333,overlap
47,786.16,1.28,47.97,23.98,1.44,18.3956,28.3837,overlap
334,353.02,751.53,83.14,47.32,175.30,7.0936,168.2727,single
59,651.55,22.03,115.49,51.54,10.89,10.6704,353.6613,overlap
300,777.36,717.18,110.95,48.31,16.31,9.0200,305.9254,overlap
317,274.94,742.92,65.40,43.07,1.82,7.7891,94.7640,single
353,762.96,769.36,84.26,53.97,156.29,9.6725,197.1379,overlap
309,742.12,124.75,47.57,43.25,6.62,9.8451,50.3470,overlap
331,664.01,749.34,59.53,43.92,6.48,8.0197,80.0630,overlap
364,305.31,774.46,27.85,27.30,91.38,7.1575,10.8915,single
366,364.65,117.66,41.98,35.96,166.73,9.2284,32.5980,overlap
360,633.53,765.07,92.21,44.54,13.54,13.7120,194.8050,overlap
54,391.70,326.99,74.25,41.82,143.47,8.4494,118.6107,overlap
345,646.63,148.63,72.67,37.48,17.79,7.7839,101.8167,overlap
391,766.54,733.79,48.78,33.46,17.15,8.9123,40.9678,overlap
241,588.06,679.62,59.05,40.90,5.13,8.9398,73.3567,overlap
359,511.79,783.01,112.88,57.28,3.46,6.3565,375.5151,overlap
